Package Name,Species name,Action Type,Lead RO,Priority Bin Ranking,Timeframe,Current Candidate,Range
3 Utah Molluscs ,sub-globose snake pyrg ,12M ,R6 ,4,FY20 ,,UT
11 Southern Nevada Springsnails ,Amargosa tryonia ,12M ,R8 ,5,FY20 ,,"CA, NV"
11 Southern Nevada Springsnails ,Ash Meadows pebblesnail ,12M ,R8 ,5,FY20 ,,NV
,Clear Lake hitch ,12M ,R8 ,2,FY20 ,,CA
11 Southern Nevada Springsnails ,Crystal springsnail ,12M ,R8 ,5,FY20 ,,NV
11 Southern Nevada Springsnails ,distal-gland springsnail ,12M ,R8 ,5,FY20 ,,NV
11 Southern Nevada Springsnails ,elongate-gland springsnail ,12M ,R8 ,5,FY20 ,,NV
11 Southern Nevada Springsnails ,Fairbanks springsnail ,12M ,R8 ,5,FY20 ,,NV
,foothill yellow-legged frog ,12M ,R8 ,N/A ,FY20 ,,"CA, OR"
11 Southern Nevada Springsnails ,median-gland Nevada pyrg ,12M ,R8 ,5,FY20 ,,NV
11 Southern Nevada Springsnails ,minute tryonia ,12M ,R8 ,5,FY20 ,,NV
11 Southern Nevada Springsnails ,Point of Rocks tryonia ,12M ,R8 ,5,FY20 ,,NV
,relict dace ,12M ,R8 ,3,FY20 ,,NV
11 Southern Nevada Springsnails ,Southeast Nevada pyrg ,12M ,R8 ,5,FY20 ,,NV
11 Southern Nevada Springsnails ,sportinggoods tryonia ,12M ,R8 ,5,FY20 ,,NV
,western spadefoot ,12M ,R8 ,2,FY20 ,,CA
,Burrington (keeled) jumping-slug ,12M ,R1 ,5,FY21 ,,"OR, WA"
,Columbia torrent salamander ,12M ,R1 ,3,FY21 ,,"OR, WA"
,Dalles sideband snail ,12M ,R1 ,5,FY21 ,,"OR, WA"
,silvery phacelia ,12M ,R1 ,4,FY21 ,,OR
Edwards Aquifer Species ,Blanco blind salamander ,12M ,R2 ,3,FY21 ,,TX
Edwards Aquifer Species ,Cascade Caverns salamander ,12M ,R2 ,3,FY21 ,,TX
Edwards Aquifer Species ,Comal blind salamander ,12M ,R2 ,3,FY21 ,,TX
Edwards Aquifer Species ,Comal Springs salamander ,12M ,R2 ,3,FY21 ,,TX
Edwards Aquifer Species ,Edwards Aquifer diving beetle ,12M ,R2 ,3,FY21 ,,TX
Edwards Aquifer Species ,mimic cavesnail ,12M ,R2 ,3,FY21 ,,TX
Edwards Aquifer Species ,Texas salamander ,12M ,R2 ,3,FY21 ,,TX
Edwards Aquifer Species ,Texas troglobitic water slater ,12M ,R2 ,3,FY21 ,,TX
Edwards Aquifer Species ,toothless blindcat ,12M ,R2 ,3,FY21 ,,TX
Edwards Aquifer Species ,widemouth blindcat ,12M ,R2 ,3,FY21 ,,TX
,Illinois chorus frog ,12M ,R3 ,3,FY21 ,,"AR, IL, MO"
2 Arkansas Crayfish ,Ouachita burrowing crayfish ,12M ,R4 ,3,FY21 ,,AR
,Coosawattae crayfish ,12M ,R4 ,3,FY21 ,,GA
,Crested Riverlet crayfish ,12M ,R4 ,3,FY21 ,,MS
2 Florida Skippers ,Dukes' skipper ,12M ,R4 ,3,FY21 ,,FL
2 Arkansas Crayfish ,Irons Fork burrowing crayfish ,12M ,R4 ,3,FY21 ,,AR
,Jackson prairie crayfish ,12M ,R4 ,3,FY21 ,,MS
,Miami cave crayfish ,12M ,R4 ,2,FY21 ,,FL
,northern cavefish ,12M ,R4 ,3,FY21 ,,"IN, KY"
2 Florida Skippers ,Palatka skipper sawgrass or Knot's skipper,12M ,R4 ,3,FY21 ,,FL
,Parrish crayfish (Hiwassee headwater crayfish),12M ,R4 ,2,FY21 ,,"GA, NC"
,Pristine crayfish ,12M ,R4 ,3,FY21 ,,TN
,Yalobusha Riverlet crayfish ,12M ,R4 ,3,FY21 ,,MS
,Blueridge springfly ,12M ,R5 ,3,FY21 ,,VA
,Cannulate cave isopod ,12M ,R5 ,2,FY21 ,,WV
,Dry Fork Valley cave beetle ,12M ,R5 ,2,FY21 ,,WV
,eastern beard-grass skipper ,Discretionary Status Review ,R5 ,2,FY21,,"AL, FL, GA, LA, MS, NC, NJ, NY, SC, VA"
,lobed roachfly ,12M ,R5 ,3,FY21 ,,VA
,Virginia stone ,12M ,R5 ,3,FY21 ,,"KY, OH, VA"
,Great Basin silverspot ,12M ,R6 ,5,FY21 ,,"AZ, CO, NM, UT"
,North Park bugseed ,12M ,R6 ,3,FY21 ,,CO
,Virgin River spinedace ,12M ,R6 ,N/A ,FY21 ,,"AZ, NV, UT"
,flat-topped Steptoe pyrg ,12M ,R8 ,5,FY21 ,,NV
,Inyo Mountains salamander ,12M ,R8 ,5,FY21 ,,CA
,Kern Canyon slender salamander ,12M ,R8 ,5,FY21 ,,CA
,Kern Plateau salamander ,12M ,R8 ,5,FY21 ,,CA
,Landyes pyrg ,12M ,R8 ,5,FY21 ,,NV
,neritiform Steptoe Ranch pyrg ,12M ,R8 ,5,FY21 ,,NV
,northern Steptoe pyrg ,12M ,R8 ,5,FY21 ,,NV
,southern Steptoe pyrg ,12M ,R8 ,5,FY21 ,,NV
,Sterile Basin pyrg ,12M ,R8 ,5,FY21 ,,NV
,sub-globose Steptoe Ranch pyrg ,12M ,R8 ,5,FY21 ,,NV
,western pond turtle ,12M ,R8 ,4,FY21 ,,"CA, OR, WA, Mexico"
,Cascades frog ,12M ,R1 ,5,FY22 ,,"OR, WA"
,Columbia Oregonian snail ,12M ,R1 ,5,FY22 ,,"OR, WA"
,evening fieldslug ,12M ,R1 ,5,FY22 ,,"OR, WA"
,Arizona toad ,12M ,R2 ,5,FY22 ,,"AZ, CA, NM, NV, UT"
Texas Plants ,big red sage ,12M ,R2 ,4,FY22 ,,TX
Texas Plants ,brush pea ,12M ,R2 ,4,FY22 ,,"TX, Mexico"
Texas Plants ,Chisos coralroot ,12M ,R2 ,4,FY22 ,,"AZ, TX, Mexico"
New Mexico Plants ,glowing Indian paintbrush ,12M ,R2 ,3,FY22 ,,"NM, Mexico"
Rio Grande Mussels ,Mexican fawnsfoot ,12M ,R2 ,3,FY22 ,,TX
Rio Grande Mussels ,Salina mucket ,12M ,R2 ,3,FY22 ,,TX
